iter	MultiClass
0	0.6541783317
1	0.6232607393
2	0.5975388695
3	0.5738159619
4	0.5541687316
5	0.5353389538
6	0.5184297189
7	0.5041999609
8	0.4918141331
9	0.4801557692
10	0.4699059206
11	0.4609646841
12	0.4527132715
13	0.4462396023
14	0.4391816565
15	0.4329545173
16	0.4270308451
17	0.4211547026
18	0.4170715165
19	0.4125245053
20	0.4087740062
21	0.4049072895
22	0.4006253184
23	0.3974834794
24	0.3948321041
25	0.3916269573
26	0.3885013556
27	0.3856710628
28	0.383549642
29	0.380545278
30	0.3781160191
31	0.3757857897
32	0.3732911269
33	0.3714286889
34	0.3693309824
35	0.3673759067
36	0.3652303751
37	0.3634593131
38	0.3618613756
39	0.3596902706
40	0.3587151835
41	0.3568794787
42	0.3553955129
43	0.3538758438
44	0.3524942685
45	0.3515004583
46	0.3504100078
47	0.3492681239
48	0.3484106499
49	0.3472129812
50	0.3457415816
51	0.3444205651
52	0.3433877897
53	0.3426966079
54	0.3420779861
55	0.3408429305
56	0.3400517065
57	0.3388450671
58	0.3378020616
59	0.3369610095
60	0.3358657442
61	0.3348657139
62	0.3341383304
63	0.3333409555
64	0.332729657
65	0.3316989702
66	0.3307937075
67	0.3299438988
68	0.3291789594
69	0.3282172211
70	0.3275542768
71	0.3270504177
72	0.326152615
73	0.3255143246
74	0.3246671442
75	0.3236125891
76	0.3229421005
77	0.3224251582
78	0.3220732698
79	0.321562247
80	0.3212211885
81	0.3202217686
82	0.3190688585
83	0.3185372125
84	0.3182685835
85	0.3174533508
86	0.3167045315
87	0.3160065406
88	0.3155368734
89	0.315112687
90	0.3143880192
91	0.3137287167
92	0.3131990419
93	0.3127295181
94	0.3120755086
95	0.3114493093
96	0.310736381
97	0.3101002718
98	0.3096199102
99	0.3091216251
