iter	Passed	Remaining
0	195	19305
1	231	11331
2	266	8602
3	288	6922
4	303	5759
5	317	4973
6	332	4418
7	347	3991
8	360	3646
9	375	3380
10	392	3178
11	410	3007
12	427	2861
13	493	3032
14	528	2994
15	542	2848
16	562	2747
17	579	2638
18	593	2529
19	606	2424
20	620	2336
21	633	2246
22	645	2162
23	658	2086
24	672	2016
25	686	1954
26	698	1887
27	711	1829
28	723	1771
29	737	1720
30	753	1676
31	769	1635
32	784	1592
33	796	1546
34	809	1502
35	821	1460
36	834	1421
37	847	1383
38	859	1343
39	872	1308
40	884	1272
41	896	1238
42	909	1205
43	921	1172
44	934	1141
45	947	1111
46	961	1084
47	974	1055
48	987	1028
49	1002	1002
50	1018	978
51	1032	953
52	1048	929
53	1064	906
54	1078	882
55	1091	857
56	1104	833
57	1116	808
58	1129	784
59	1142	761
60	1156	739
61	1168	716
62	1182	694
63	1200	675
64	1214	653
65	1227	632
66	1240	611
67	1255	590
68	1268	569
69	1280	548
70	1293	528
71	1306	507
72	1318	487
73	1330	467
74	1342	447
75	1355	428
76	1367	408
77	1381	389
78	1393	370
79	1408	352
80	1421	333
81	1434	314
82	1446	296
83	1458	277
84	1472	259
85	1485	241
86	1499	224
87	1514	206
88	1529	189
89	1545	171
90	1561	154
91	1576	137
92	1590	119
93	1602	102
94	1616	85
95	1631	67
96	1648	50
97	1663	33
98	1680	16
99	1697	0
